year,mean_Q,median_Q
2015,272.0745079908676,248.35
2014,322.83858208955223,320.915
2016,566.3376901183971,581.29
2017,3957.2595844748857,2587.34
2019,7370.5545331050225,7827.535
2018,7548.607965753425,6919.235
2020,11078.47244193989,9698.83
2022,28225.68460388128,23153.510000000002
2023,28813.93373630137,27744.34
2021,47385.07895890411,47926.28999999999
2024,65899.99695355192,64208.34
2025,103155.71578779773,104930.32
